rank,name,summary,Location,Cleanliness,Service,Value,Pool,Bar / lounge,Airport transportation,Gym,HOTEL CLASS,Non-smoking rooms,latitude,Longitude,price,Great for walkers,Nearby restaurants,Attractions,website
46,Pegasus Apart'Hotel,4.0,4.5,4.5,4.5,4.5,1,0,0,1,4.0,1,-37.8101322271941,144.957156555437,184,100,367,52,https://www.tripadvisor.com.au/Hotel_Review-g255100-d3686304-Reviews-Pegasus_Apart_Hotel-Melbourne_Victoria.html
47,Somerset on Elizabeth Melbourne,4.0,5.0,4.0,4.5,4.0,1,0,1,1,4.0,1,-37.8127524076959,144.962707940096,195,100,884,209,https://www.tripadvisor.com.au/Hotel_Review-g255100-d277683-Reviews-Somerset_on_Elizabeth_Melbourne-Melbourne_Victoria.html
48,Oaks Melbourne on William Suites,4.5,4.5,4.5,4.5,4.5,0,0,0,1,4.5,1,-37.8112808513115,144.956507224755,209,99,373,51,https://www.tripadvisor.com.au/Hotel_Review-g255100-d4326625-Reviews-Oaks_Melbourne_on_William_Suites-Melbourne_Victoria.html
49,Batman's Hill On Collins,4.0,4.5,4.0,4.0,4.0,0,1,1,1,4.0,1,-37.8191861549928,144.954523484272,189,100,356,62,https://www.tripadvisor.com.au/Hotel_Review-g255100-d255448-Reviews-Batman_s_Hill_On_Collins-Melbourne_Victoria.html
50,Quincy Hotel Melbourne,4.5,4.5,4.5,4.5,4.5,1,1,1,1,4.0,1,-37.8195572045534,144.956960240096,263,100,391,81,https://www.tripadvisor.com.au/Hotel_Review-g255100-d21510585-Reviews-Quincy_Hotel_Melbourne-Melbourne_Victoria.html
51,The Sebel Melbourne Docklands,4.0,4.5,4.5,4.0,4.0,0,0,0,0,4.5,1,-37.8138135556105,144.942470553591,259,87,72,23,https://www.tripadvisor.com.au/Hotel_Review-g255100-d5281638-Reviews-The_Sebel_Melbourne_Docklands-Melbourne_Victoria.html
52,Rendezvous Hotel Melbourne,4.0,4.5,4.5,4.0,4.0,0,1,1,1,4.0,1,-37.8183323797515,144.963585513107,252,100,534,169,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257779-Reviews-Rendezvous_Hotel_Melbourne-Melbourne_Victoria.html
53,Travelodge Hotel Melbourne Southbank,4.0,5.0,4.5,4.5,4.5,0,0,0,0,3.5,1,-37.8212921297511,144.965338326602,218,100,242,70,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257808-Reviews-Travelodge_Hotel_Melbourne_Southbank-Melbourne_Victoria.html
54,Best Western Melbourne City,4.0,4.5,4.5,4.5,4.5,0,1,0,0,3.0,1,-37.820636054826,144.955017351744,140,100,324,63,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256823-Reviews-Best_Western_Melbourne_City-Melbourne_Victoria.html
55,Oaks Melbourne on Lonsdale Suites,4.0,4.5,4.5,4.0,4.0,0,0,0,0,4.0,1,-37.8098069508041,144.971338624755,269,100,468,115,https://www.tripadvisor.com.au/Hotel_Review-g255100-d798499-Reviews-Oaks_Melbourne_on_Lonsdale_Suites-Melbourne_Victoria.html
56,Mantra Southbank Melbourne,4.0,4.5,4.5,4.5,4.0,1,1,0,1,4.5,1,-37.8217300294616,144.96684929592,299,100,175,53,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257048-Reviews-Mantra_Southbank_Melbourne-Melbourne_Victoria.html
57,Amity Apartment Hotels,4.0,4.5,4.5,4.5,4.0,1,0,0,1,4.0,1,-37.837111452931,144.993720313108,259,69,140,15,https://www.tripadvisor.com.au/Hotel_Review-g255100-d940580-Reviews-Amity_Apartment_Hotels-Melbourne_Victoria.html
58,ibis Melbourne Hotel and Apartments,4.0,4.5,4.5,4.0,4.0,0,1,0,0,3.0,1,-37.8069734330416,144.961362697766,180,100,270,51,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256835-Reviews-Ibis_Melbourne_Hotel_and_Apartments-Melbourne_Victoria.html
59,Pullman Melbourne Albert Park,4.0,4.0,4.5,4.0,4.0,1,1,0,1,5.0,1,-37.849829517036,144.978757926126,269,77,29,4,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256817-Reviews-Pullman_Melbourne_Albert_Park-Melbourne_Victoria.html
60,Imagine Marco,4.0,4.0,4.5,4.0,4.0,1,0,0,1,4.0,1,-37.8265031821547,144.962661482426,199,94,55,15,https://www.tripadvisor.com.au/Hotel_Review-g255100-d11964844-Reviews-Imagine_Marco-Melbourne_Victoria.html
61,Causeway 353 Hotel,4.0,4.5,4.0,4.0,4.0,0,0,0,1,4.0,1,-37.815797431014,144.963169413107,194,100,844,236,https://www.tripadvisor.com.au/Hotel_Review-g255100-d1210876-Reviews-Causeway_353_Hotel-Melbourne_Victoria.html
62,Melbourne Hotel CBD,4.0,4.5,4.0,4.0,4.0,0,0,0,0,3.0,1,-37.8154639040842,144.954767340096,160,100,402,68,https://www.tripadvisor.com.au/Hotel_Review-g255100-d273197-Reviews-Melbourne_Hotel_CBD-Melbourne_Victoria.html
63,Punthill Manhattan,4.0,4.5,4.0,4.0,4.0,0,0,0,1,4.5,1,-37.8148269282712,144.972682853591,212,100,347,119,https://www.tripadvisor.com.au/Hotel_Review-g255100-d460131-Reviews-Punthill_Manhattan-Melbourne_Victoria.html
64,Novotel Melbourne Central Hotel,4.0,4.5,4.5,4.0,4.0,0,1,0,1,4.5,1,-37.8118883515206,144.960028082426,299,100,722,137,https://www.tripadvisor.com.au/Hotel_Review-g255100-d15215114-Reviews-Novotel_Melbourne_Central_Hotel-Melbourne_Victoria.html
65,Mantra 100 Exhibition Melbourne,4.0,4.5,4.0,4.0,4.0,0,1,0,1,4.0,1,-37.8133426556648,144.971500653591,239,100,617,177,https://www.tripadvisor.com.au/Hotel_Review-g255100-d278576-Reviews-Mantra_100_Exhibition_Melbourne-Melbourne_Victoria.html
66,Melbourne Carlton Central Apartment Hotel,4.0,4.5,4.0,4.5,4.0,0,0,0,0,4.0,1,-37.8037934027466,144.966961655437,100,100,182,30,https://www.tripadvisor.com.au/Hotel_Review-g255100-d737211-Reviews-Melbourne_Carlton_Central_Apartment_Hotel-Melbourne_Victoria.html
67,Stamford Plaza Melbourne,4.0,4.5,4.5,4.5,4.0,1,1,0,1,5.0,1,-37.8134908520722,144.969917340096,306,100,733,206,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257042-Reviews-Stamford_Plaza_Melbourne-Melbourne_Victoria.html
68,Seasons Botanic Gardens,4.0,4.5,4.0,4.0,4.0,1,1,0,1,4.0,1,-37.8309424058587,144.970938999613,229,91,44,20,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257046-Reviews-Seasons_Botanic_Gardens-Melbourne_Victoria.html
69,Quest on William,4.0,4.5,4.0,4.0,4.0,0,0,0,0,4.0,1,-37.8148737525483,144.958037153591,209,100,618,140,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257033-Reviews-Quest_on_William-Melbourne_Victoria.html
70,Quality Hotel Carlton,3.5,4.5,4.0,4.0,4.0,1,0,0,1,4.0,1,-37.783031017934,144.959114328447,949,65,41,28,https://www.tripadvisor.com.au/Hotel_Review-g255100-d255411-Reviews-Quality_Hotel_Carlton-Melbourne_Victoria.html
71,Flinders Landing Apartments,4.0,4.5,4.0,4.0,4.0,0,0,0,0,4.0,1,-37.8160122553578,144.969117726602,259,100,638,204,https://www.tripadvisor.com.au/Hotel_Review-g255100-d545644-Reviews-Flinders_Landing_Apartments-Melbourne_Victoria.html
72,City Centre Budget Hotel,4.0,4.5,4.0,4.0,4.0,0,0,0,0,2.0,1,-37.8124596037397,144.972781626602,145,100,507,142,https://www.tripadvisor.com.au/Hotel_Review-g255100-d618310-Reviews-City_Centre_Budget_Hotel-Melbourne_Victoria.html
73,City Square Motel,4.0,5.0,4.0,4.0,4.5,0,0,0,0,3.0,1,-37.8160033577962,144.966590028448,147,100,715,229,https://www.tripadvisor.com.au/Hotel_Review-g255100-d263522-Reviews-City_Square_Motel-Melbourne_Victoria.html
74,Essence Hotel Carlton,4.0,4.5,4.5,4.0,4.0,0,0,0,0,3.0,1,-37.8041259797541,144.963001168931,181,100,214,32,https://www.tripadvisor.com.au/Hotel_Review-g255100-d4833413-Reviews-Essence_Hotel_Carlton-Melbourne_Victoria.html
75,Hotel Grand Chancellor Melbourne,3.5,4.5,4.0,4.0,3.5,1,1,0,1,4.0,1,-37.810783665643,144.968459741942,199,100,756,171,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256827-Reviews-Hotel_Grand_Chancellor_Melbourne-Melbourne_Victoria.html
76,Naughtons Hotel,4.5,4.5,4.5,4.5,4.0,0,1,0,0,3.0,1,-37.7956625592162,144.95759075359,164,78,10,21,https://www.tripadvisor.com.au/Hotel_Review-g255100-d4095294-Reviews-Naughtons_Hotel-Melbourne_Victoria.html
77,Mercure Melbourne Albert Park,3.5,4.0,4.0,4.0,4.0,1,1,0,1,4.0,1,-37.8497728949337,144.978719655438,179,78,33,4,https://www.tripadvisor.com.au/Hotel_Review-g255100-d4045336-Reviews-Mercure_Melbourne_Albert_Park-Melbourne_Victoria.html
78,Atlantis Hotel,3.5,4.5,4.0,3.5,4.0,1,0,0,1,4.0,1,-37.8135701762171,144.951841040096,125,100,211,31,https://www.tripadvisor.com.au/Hotel_Review-g255100-d255744-Reviews-Atlantis_Hotel-Melbourne_Victoria.html
79,Mercure Melbourne Therry Street,3.5,4.5,4.0,4.0,4.0,0,0,0,0,4.0,1,-37.8069951666604,144.960552251744,148,100,297,53,https://www.tripadvisor.com.au/Hotel_Review-g255100-d5021774-Reviews-Mercure_Melbourne_Therry_Street-Melbourne_Victoria.html
80,Carlton Lygon Lodge,4.0,4.5,4.0,4.0,3.5,0,0,1,1,3.0,1,-37.801842548063,144.966967811261,172,99,205,25,https://www.tripadvisor.com.au/Hotel_Review-g255100-d258512-Reviews-Carlton_Lygon_Lodge-Melbourne_Victoria.html
81,Ibis Budget Melbourne CBD,3.5,4.5,3.5,3.5,4.0,0,0,0,0,3.0,1,-37.8158395041273,144.963702897767,119,100,818,239,https://www.tripadvisor.com.au/Hotel_Review-g255100-d734777-Reviews-Ibis_Budget_Melbourne_CBD-Melbourne_Victoria.html
82,Mercure Welcome Melbourne,3.5,4.5,4.0,4.0,3.5,0,0,0,0,3.0,1,-37.8127771278008,144.964644368931,159,100,1011,246,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256813-Reviews-Mercure_Welcome_Melbourne-Melbourne_Victoria.html
83,W Melbourne,4.0,4.0,4.5,4.0,4.0,1,1,0,1,5.0,1,-37.8181649304699,144.960552641943,509,100,583,132,https://www.tripadvisor.com.au/Hotel_Review-g255100-d23153980-Reviews-W_Melbourne-Melbourne_Victoria.html
84,ibis Styles Kingsgate Hotel,3.0,4.0,3.5,3.5,3.0,0,0,0,0,3.0,1,-37.8169114777509,144.955728026602,129,100,485,87,https://www.tripadvisor.com.au/Hotel_Review-g255100-d256837-Reviews-Ibis_Styles_Kingsgate_Hotel-Melbourne_Victoria.html
85,Arrow On Swanston,3.0,4.0,3.5,3.0,3.5,1,0,0,1,3.0,1,-37.8057316494016,144.963463913107,91,100,242,43,https://www.tripadvisor.com.au/Hotel_Review-g255100-d594066-Reviews-Arrow_On_Swanston-Melbourne_Victoria.html
