stop_id,latitude,stop_name,longitude,routeussp
45513,-37.67093600,Melbourne Airport T3 Skybus/Arrival Dr (Melbourne Airport),144.84874100,Skybus
45511,-37.66933100,Melbourne Airport T1 Skybus/Arrival Dr (Melbourne Airport),144.85068100,Skybus
23173,-37.81604500,Skybus Coach Terminal/Spencer St (Melbourne City),144.95197500,Skybus
23175,-37.81655100,Skybus Coach Terminal/Spencer St (Melbourne City),144.95258600,Skybus
