stop_id,latitude,stop_name,longitude,ticketzone,routeussp
19836,-38.152034,Leawarra Railway Station (Frankston),145.139534,2,Stony Point
19837,-37.868957,Darling Railway Station (Malvern East),145.062951,"1,2",Glen Waverley
19838,-37.87693,East Malvern Railway Station (Malvern East),145.069393,"1,2",Glen Waverley
19839,-37.874402,Holmesglen Railway Station (Malvern East),145.090662,"1,2",Glen Waverley
19840,-37.873603,Jordanville Railway Station (Mount Waverley),145.11209,2,Glen Waverley
19841,-37.811981,Flagstaff Railway Station (Melbourne City),144.955654,1,Belgrave
19842,-37.809939,Melbourne Central Railway Station (Melbourne City),144.962594,1,Belgrave
19843,-37.811054,Parliament Railway Station (Melbourne City),144.972911,1,Belgrave
19844,-37.909102,Belgrave Railway Station (Belgrave),145.355291,2,Belgrave
19845,-37.908118,Tecoma Railway Station (Tecoma),145.342995,2,Belgrave
19846,-37.903691,Upwey Railway Station (Upwey),145.331333,2,Belgrave
19847,-37.86832,Alamein Railway Station (Ashburton),145.079656,1,Alamein
19848,-37.861968,Ashburton Railway Station (Ashburton),145.081344,1,Alamein
19849,-37.851563,Burwood Railway Station (Glen Iris),145.080511,1,Alamein
19850,-37.843985,Hartwell Railway Station (Camberwell),145.07556,1,Alamein
19851,-37.835716,Willison Railway Station (Camberwell),145.070298,1,Alamein
19852,-37.831505,Riversdale Railway Station (Camberwell),145.069646,1,Alamein
19853,-37.826567,Camberwell Railway Station (Camberwell),145.058697,1,Belgrave
19854,-37.818305,Flinders Street Railway Station (Melbourne City),144.966964,1,Belgrave
19855,-38.14299,Frankston Railway Station (Frankston),145.126162,2,Stony Point
19856,-38.121742,Kananook Railway Station (Seaford),145.135295,2,Frankston
19857,-38.104021,Seaford Railway Station (Seaford),145.12823,2,Frankston
19858,-38.076504,Carrum Railway Station (Carrum),145.122833,2,Frankston
19859,-38.062945,Bonbeach Railway Station (Bonbeach),145.11968,2,Frankston
19860,-38.051955,Chelsea Railway Station (Chelsea),145.116041,2,Frankston
19861,-38.038056,Edithvale Railway Station (Edithvale),145.108536,2,Frankston
19862,-38.02722,Aspendale Railway Station (Aspendale),145.10215,2,Frankston
19863,-38.006583,Mordialloc Railway Station (Mordialloc),145.087659,2,Frankston
19864,-37.993079,Parkdale Railway Station (Parkdale),145.076327,2,Frankston
19865,-37.981865,Mentone Railway Station (Mentone),145.065166,2,Frankston
19866,-37.96665,Cheltenham Railway Station (Cheltenham),145.054558,2,Frankston
19867,-37.892672,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),145.30753,2,Belgrave
19868,-37.881698,Ferntree Gully Railway Station (Ferntree Gully),145.295251,2,Belgrave
19869,-37.860452,Boronia Railway Station (Boronia),145.284385,2,Belgrave
19870,-37.84173,Bayswater Railway Station (Bayswater),145.268136,2,Belgrave
19871,-37.828322,Heathmont Railway Station (Heathmont),145.244555,2,Belgrave
19872,-37.948425,Highett Railway Station (Highett),145.041872,2,Frankston
19873,-37.879504,Glen Waverley Railway Station (Glen Waverley),145.162058,2,Glen Waverley
