Business address,Industry (ANZSIC4) description,Industry Category,Seating type,Trading name,Latitude,Longitude
"Shop 25, Ground , 8 Whiteman Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Guiseppe Arnaldo & Son,-37.823161595,144.958335583
"Shop 48, Level 1, 8 Whiteman Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Steak Out,-37.823161595,144.958335583
"Shop 49, Level 1, 8 Whiteman Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Caffe Corso,-37.823161595,144.958335583
"Shop 18, Ground , 8 Whiteman Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Greco,-37.823161595,144.958335583
"Shop 22, Ground , 8 Whiteman Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Brubakers,-37.823161595,144.958335583
"Shop 18, Ground , 8 Whiteman Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Atlantic/The Den /The Champagne & Oyster Bar,-37.823161595,144.958335583
8 Whiteman Street SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mings Dim Sum,-37.823161595,144.958335640
"Shop 49, Level 1, 8 Whiteman Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe At Crown,-37.823161595,144.958335640
"Shop 84, Ground , 8 Whiteman Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Emporio Dell Pasta,-37.823161595,144.958335640
"Suite 5, 85 Turner Street PORT MELBOURNE VIC 3207",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lai Cafe,-37.823027995,144.925387837
"Suite 91, 21 Turner Street PORT MELBOURNE 3207",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Hall St Deli,-37.823027994,144.925387837
"Suite 91, 21 Turner Street PORT MELBOURNE 3207",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Hall St Cafe,-37.823021027,144.925379842
"Part Ground , 77 Southbank Boulevard SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Alliance Catering,-37.822929508,144.967003366
"Unit 14, Ground , 60 Siddeley Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pud Thai Vs Pho,-37.822885031,144.952488373
"Part Unit 13, Ground 60 Siddeley Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Them Authentic Vietnamese,-37.822883628,144.952478884
"Unit 14, Ground 60 Siddeley Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Hanoi Square,-37.822883628,144.952478884
"Unit 15, Ground , 60 Siddeley Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Zahra Jabriye,-37.822883628,144.952478884
"Ground , 20 Kavanagh Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Southpoint Deli,-37.822807830,144.965827364
Ground 20 Kavanagh Street SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Let's Grind,-37.822807830,144.965827364
180 St Kilda Road SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cyber Cafe/Mezzanine Cafe,-37.822739238,144.968636375
180-0 St Kilda Road SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Garden Restaurant/Cyber Cafe/Mezzanine Cafe,-37.822739238,144.968636375
"Part Ground , 180-200 St Kilda Road SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Persimmon Cafe/Bistro,-37.822737927,144.968626936
Part Ground 180 St Kilda Road SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Gallery Kitchen,-37.822737927,144.968626937
Part Level 1 180 St Kilda Road SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Tea Room,-37.822737927,144.968626937
"Part Ground , 180 St Kilda Road SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Peter Rowland Catering At NGV International,-37.822737927,144.968626937
"Tenancy 1, Ground , 28 Freshwater Place SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Boccata,-37.822672101,144.962289624
"Tenancy 2, 28 Freshwater Place SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Alliance Catering CPA Cafe,-37.822672101,144.962289624
"Tenancy 2, 28 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Powered by Cote Terra,-37.822672101,144.962289624
"Ground , 12 Kavanagh Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Fabric Restaurant,-37.822614884,144.966267720
"Ground , 12 Kavanagh Street SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Saporito Cafe Bar & Grill,-37.822613565,144.966258275
Ground 12 Kavanagh Street SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Saporito Taquito,-37.822613565,144.966258275
1-5 Spencer Street DOCKLANDS 3005,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Dragon Boat Restaurant,-37.822602567,144.955066060
18-38 Siddeley Street DOCKLANDS 3005,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Full House Takeaway,-37.822582412,144.953792032
18-38 Siddeley Street DOCKLANDS 3005,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sprekos - Full House Deli,-37.822581012,144.953782543
18-38 Siddeley Street DOCKLANDS 3005,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Byblo's Bar & Restaurant,-37.822581011,144.953782543
"Shop 5, Ground 18-38 Siddeley Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Yarra Dragon,-37.822581011,144.953782543
Suite 22 level 1 89-91 City Road SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Paris by night,-37.822555163,144.965113162
"Suite 22, Level 1 89-91 City Road SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Paris By Night,-37.822555163,144.965113162
3 Central Boulevard FISHERMANS BEND 3207,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Portside Deli,-37.822285016,144.918852221
"Shop 10, 833 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Koji Sushi,-37.822062624,144.945701309
"Shop 15, 833 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Volume Cafe,-37.822062624,144.945701309
"Shop 17, 833 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Rhumba's At ANZ,-37.822062624,144.945701309
"Shop 17, 833 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Rhumba's At Docklands,-37.822062624,144.945701309
"Shop 17, 833 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Rhumba's At Docklands Pty Ltd,-37.822062624,144.945701309
"Shop 3, 833 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Degani @ Docklands,-37.822062623,144.945701308
"Shop 15, 833-0 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Gruppo,-37.822059488,144.945701111
Part 816 Lorimer Street PORT MELBOURNE 3207,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Heist Cafe Bar,-37.822045223,144.930990527
Part level 5 2-6 Kavanagh Street SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lisa Bolte dancers'  Lounge,-37.821969413,144.967359817
"Shop , Ground , 33 Southbank Boulevard SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Bond Store Cafe,-37.821942914,144.963877253
Shop Ground 1 Riverside Quay SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,BondStore Cafe,-37.821941581,144.963867803
27-33 City Road SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,artistic@pacificinternational,-37.821743025,144.966874293
27-33 City Road SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pacific International,-37.821743025,144.966874293
Part Ground 31 City Road SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mezzi Bar,-37.821741708,144.966864855
"Shop 8, 3 Freshwater Place SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Shoji Sushi And Noodles,-37.821715093,144.962182584
"Shop 5, 3-9 Freshwater Place SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Number Five,-37.821715093,144.962182584
"Shop 1, 3-9 Freshwater Place SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Yar Restaurant,-37.821715093,144.962182584
"Part Shop 16R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Frankie Walter Peta,-37.821715092,144.962182584
"Shop 16, Part 3-9 Freshwater Place SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cowboy Cafe,-37.821715092,144.962182584
"Shop 18, 3 Freshwater Place SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Guava Bean,-37.821715092,144.962182584
"Shop 18R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Heavenly Beans,-37.821715092,144.962182584
"Shop 2R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Meat & Wine Co,-37.821715092,144.962182584
"Shop 18, 3 Freshwater Place SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Guava Bean / Dognation,-37.821715092,144.962182584
"Shop 8, 3 Freshwater Place SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Shoji Express,-37.821715092,144.962182584
"Shop 2, Level 1, 7-7 Riverside Quay SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,G4 Ground Cafe & Bar,-37.821680574,144.964538655
"Shop G1, 839 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Other Brother,-37.821628596,144.944003654
"Tenancy 1, 859 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Nourish-D,-37.821628596,144.944003654
"Tenancy 3, 851 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Thai Thani Docklands,-37.821628596,144.944003654
"Tenancy 4, 845 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pony Boy,-37.821628596,144.944003654
1 McCrae Street DOCKLANDS 3008,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Gokotta Kaffe,-37.821508535,144.950763076
"Tenancy 42, LwrGround 0, 18-0 Batmans Hill Drive DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sushi & Nori,-37.821312691,144.949822025
"Shop 3, Ground , 800 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Beanstalk Cafe,-37.821044155,144.945832620
"Shop 9, Ground , 800 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Nashi Myer,-37.821044155,144.945832620
"Part Level 4, 800-0 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Paper Chase,-37.821044155,144.945832620
"Shop 1, Ground 800 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Spicy kitchen docklands,-37.821044155,144.945832620
"Shop 1, Ground 800 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Spicy Kitchen Docklands,-37.821044155,144.945832620
"Shop 2, Ground , 800 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Non Solo Pasta,-37.821044155,144.945832620
"Shop 3, Ground , 800 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Beanstalk Cafe,-37.821044155,144.945832620
"Part Ground , 1 Southbank Boulevard SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Left Bank Melbourne,-37.821039350,144.962866741
Part Rear Ground 1 Southbank Boulevard SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Jiao Zi,-37.821039350,144.962866741
Rear Ground 1 Southbank Boulevard SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Old Man Pho,-37.821039350,144.962866741
"Part Ground , 1-9 Southbank Boulevard SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Noodle House,-37.821039349,144.962866741
5 Collins Street DOCKLANDS 3008,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Humble Heroes,-37.821012304,144.945019385
5 Karlsruhe Lane DOCKLANDS VIC 3008,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Ibean on collins,-37.821012304,144.945019385
"Shop 7, 838 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Charlie bit me,-37.821012304,144.945019385
11 Gem Place MELBOURNE VIC 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Food Hall,-37.820979044,144.956513752
547 Flinders Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Tokyo Maki One,-37.820979044,144.956513752
547 Flinders Street MELBOURNE VIC 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Tokyo Maki,-37.820979044,144.956513752
549 Flinders Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Food Sutra,-37.820979044,144.956513752
"Part Ground , 100 St Kilda Road SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Riverside Cafe,-37.820943357,144.968179772
"Part Level 5, 100 St Kilda Road SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Vic,-37.820943357,144.968179772
"Part Level 5, 100 St Kilda Road SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,EQ Cafe,-37.820943357,144.968179772
"Part Level 5, 100 St Kilda Road SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Spotless Services,-37.820943357,144.968179772
Kiosk Theatres Arts Centre Melbourne Opposite 100 St Kilda Road SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Centro,-37.820942040,144.968170341
Part 100 St Kilda Road SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Teatro,-37.820942040,144.968170341
Part Ground 100 St Kilda Road SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bombini Buzz,-37.820942040,144.968170341
"Tenancy 6, Ground 850 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,honey tangs,-37.820939779,144.944544249
"Tenancy 7, Ground , 850 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sushi Bay In Docklands,-37.820939779,144.944544249
"Tenancy 7, Ground 850 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sushi at the Dock,-37.820939779,144.944544249
"Tenancy 8, Gnd & Mezz 850 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Neo Lemonade,-37.820939779,144.944544249
"Tenancy 9, Ground , 850 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Little Bean Dockside,-37.820939779,144.944544249
"Tenancy 9, Ground 0, 850-0 Collins Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Double Gauge,-37.820939779,144.944544249
46 Collins Street DOCKLANDS 3008,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,De Mad Hatter,-37.820929255,144.949499505
862 Merchant Street DOCKLANDS 3008,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Vintams Cafe,-37.820928452,144.943681883
"Shop 4, 4 Riverside Quay SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,World Restaurant & Bar,-37.820924473,144.963374133
"Part Ground , 4 Riverside Quay SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Ootoro (Vic) Pty Ltd,-37.820924473,144.963374132
Part Ground 4 Riverside Quay SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Infinite Wasabi,-37.820924473,144.963374133
Part Ground 4 Riverside Quay SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Thailander Riverside Quay,-37.820924473,144.963374133
"Part Ground , 525 Flinders Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Northbanc Cafe,-37.820902309,144.957201285
"Part Ground , 6 Riverside Quay SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,EAT,-37.820828167,144.963837170
Part Ground 6 Riverside Quay SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Asado Bar y Grill,-37.820826832,144.963827721
Part Ground 6 Riverside Quay SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,DOC Southbank,-37.820826832,144.963827721
"Restaurant 2, Upper Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Miyako (japanese Restaurant),-37.820719541,144.966312536
"Restaurant 4, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Scusami /L'osteria,-37.820719541,144.966312536
"Shop 28, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Tutto bene,-37.820719541,144.966312536
"Shop 5, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Earthworm Organic Cafe,-37.820719541,144.966312536
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bear Brass,-37.820719541,144.966337474
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bistro Vite,-37.820719541,144.966337474
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Blake's,-37.820719541,144.966337474
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Deck Restaurant,-37.820719541,144.966337474
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Egusto,-37.820719541,144.966337474
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Llama Bar,-37.820719541,144.966337474
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Miyako,-37.820719541,144.966337474
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Saturne,-37.820719541,144.966337474
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Scusa Mi Restaurant,-37.820719541,144.966337474
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Simply French,-37.820719541,144.966337474
3 Southgate Avenue SOUTHBANK 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The River Seafood Grill,-37.820719541,144.966337474
"Restaurant 1, Upper Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Walters Wine Bar,-37.820719541,144.966337474
"Shop 28, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bon Bon's,-37.820719541,144.966337474
"Shop Mr 3, 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mecca,-37.820719541,144.966337474
"Part Podium , 60 City Road SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,IBM Bistro,-37.820718219,144.966303100
"Restaurant 6, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Chill On Ice Lounge & Ski Lodge,-37.820718219,144.966303100
"Shop 9, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,L'Osteria,-37.820718219,144.966303100
"Restaurant 2, Upper Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Miyako (Japanese Restaurant),-37.820718219,144.966303099
"Restaurant 3, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Kouzina Restaurant,-37.820718219,144.966303099
"Restaurant 6, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Seagrass Restaurant,-37.820718219,144.966303099
Part Podium 1 Southgate Avenue SOUTHBANK VIC 3006,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Melba Restaurant,-37.820718209,144.966303091
"Restaurant 1, Upper Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Commune Wine,-37.820718209,144.966303091
"Restaurant 4-9, Mid Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,ENA Greek Street Food,-37.820718209,144.966303091
"Restaurant 4-9, Mid Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Yassas The Greek Way,-37.820718209,144.966303091
"Shop 17, Podium 3 Southgate Avenue SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Espresso Bar International,-37.820718209,144.966303091
"Shop 24-28, Mid Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Tutto Bene,-37.820718209,144.966303091
"Shop 3A, Ground 3 Southgate Avenue SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,BearBrass,-37.820718209,144.966303091
"Shop 9-10, Ground 3 Southgate Avenue SOUTHBANK VIC 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lindt,-37.820718209,144.966303091
"Shop 10, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Red Emperor,-37.820718192,144.966303076
"Shop 14, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Damon Bradley Southgate,-37.820718192,144.966303076
566 Flinders Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Flying Rhino Cafe,-37.820712658,144.955345893
566 Flinders Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Forever Gold Cafe,-37.820712658,144.955345893
"Tenancy 44, Ground 727 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Long Shot,-37.820702791,144.950118112
"Tenancy 47B, LwrGround 727 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lily li,-37.820702791,144.950118112
"Kiosk 1, 67-843 Bourke Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Shinsei Fish and Sushi Bar,-37.820445577,144.943459935
73A Merchant Street DOCKLANDS VIC 3008,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Grain & Vine on Merchant,-37.820445577,144.943459935
829-831A Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Tap 831,-37.820445577,144.943459935
831B Bourke Street DOCKLANDS 3008,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cinnamon's,-37.820445577,144.943459935
831B Bourke Street DOCKLANDS 3008,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Indi Hots,-37.820445577,144.943459935
831B Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Indi Hots Indian Restaurant,-37.820445577,144.943459935
"Kiosk 1, 67 Bourke Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Shinsei Fish & Sushi Bar,-37.820445577,144.943459935
"Kiosk 1, 67 Merchant Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Shinsei Fish And Sushi,-37.820445577,144.943459935
"Unit 1C, 8 Downie Street MELBOURNE VIC 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Chef Tan Chinese Restaurant,-37.820399047,144.955969147
"Shop 8, 64 Bourke Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Indian Mirchi,-37.820244277,144.944155885
Ground 520-522 Flinders Street MELBOURNE VIC 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Viva Kebabs,-37.820243033,144.956883622
9 Katherine Place MELBOURNE VIC 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Shonan Kamakura,-37.820241518,144.956435120
"Shop 4, 699 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Home Vegan Bar / Home Juice and Salad Bar,-37.820201186,144.951468644
"Shop 8, 699 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Peddler Espresso,-37.820201186,144.951468644
"Part Ground 0, 33-0 Spencer Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Grand,-37.820178693,144.954209667
"Part Ground , 33 Spencer Street DOCKLANDS 3008",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,RAB,-37.820177303,144.954200173
