stop_id,latitude,stop_name,longitude,ticketzone,routeussp
19358,-37.756571,129-Moreland Rd/Holmes St (Brunswick),144.974626,1,6
19359,-37.756058,130-Barrow St/Moreland Rd (Coburg),144.969975,1,6
19361,-37.75534,132-Sydney Rd/Moreland Rd (Coburg),144.963854,1,6
13401,-37.850564,28-Punt Rd/High St (Prahran),144.984047,1,6
14033,-37.85105,29-Perth St/High St (Prahran),144.987727,1,6
14614,-37.851319,30-Prahran Station/High St (Prahran),144.989731,1,6
14728,-37.851756,31-Chapel St/High St (Prahran),144.993209,1,6
15699,-37.852199,32-Hornby St/High St (Prahran),144.996436,1,6
16610,-37.852434,33-The Avenue/High St (Prahran),144.998089,1,6
16718,-37.852651,34-Lewisham Rd/High St (Prahran),144.999685,1,6
16738,-37.853011,35-Williams Rd/High St (Prahran),145.002324,1,6
16739,-37.853556,36-Chatsworth Rd/High St (Prahran),145.006276,1,6
16740,-37.853866,37-Airlie Ave/High St (Prahran),145.008654,1,6
16741,-37.85422,38-Orrong Rd/High St (Prahran),145.011452,1,6
16742,-37.854685,39-Auburn Gr/High St (Armadale),145.014974,1,6
16772,-37.854872,39-Auburn Gr/High St (Armadale),145.015356,1,6
16773,-37.854386,38-Orrong Rd/High St (Armadale),145.011709,1,6
16774,-37.853993,37-Airlie Ave/High St (Prahran),145.008685,1,6
16775,-37.853764,36-Chatsworth Rd/High St (Prahran),145.006873,1,6
16776,-37.853169,35-Williams Rd/High St (Prahran),145.002615,1,6
16777,-37.852829,34-Lewisham Rd/High St (Prahran),145.000113,1,6
16778,-37.852623,33-The Avenue/High St (Prahran),144.998607,1,6
17602,-37.852354,32-Hornby St/High St (Prahran),144.996534,1,6
17603,-37.851951,31-Chapel St/High St (Prahran),144.993533,1,6
17604,-37.851392,30-Prahran Station/High St (Windsor),144.989298,1,6
17605,-37.851207,29-Perth St/High St (Windsor),144.987927,1,6
17606,-37.850758,28-Punt Rd/High St (Windsor),144.984371,1,6
16749,-37.857383,46-Fraser St/High St (Malvern),145.035611,1,6
16750,-37.857694,47-Dixon St/High St (Malvern),145.038013,1,6
16751,-37.858078,48-Tooronga Rd/High St (Glen Iris),145.041049,1,6
16752,-37.858454,49-Harold Holt Swim Centre/High St (Glen Iris),145.044198,1,6
16753,-37.858945,50-Belmont Ave/High St (Glen Iris),145.048255,1,6
16754,-37.85931,51-Burke Rd/High St (Glen Iris),145.051212,1,6
16755,-37.859614,52-Boyanda Rd/High St (Glen Iris),145.053795,1,6
16757,-37.859998,53-Malvern Rd/High St (Glen Iris),145.056331,1,6
16758,-37.859782,52-Boyanda Rd/High St (Glen Iris),145.054189,1,6
16759,-37.859486,51-Burke Rd/High St (Glen Iris),145.051503,1,6
16760,-37.85911,50-Belmont Ave/High St (Glen Iris),145.048409,1,6
16761,-37.85867,49-Harold Holt Swim Centre/High St (Glen Iris),145.044704,1,6
16762,-37.858272,48-Tooronga Rd/High St (Glen Iris),145.041362,1,6
16764,-37.85782,47-Dixon St/High St (Malvern),145.038009,1,6
16765,-37.857558,46-Fraser St/High St (Malvern),145.0358,1,6
4161,-37.755414,33-Hutton St/St Georges Rd (Thornbury),144.993931,1,11
4162,-37.752033,34-Miller St/St Georges Rd (Preston),144.994885,1,11
4163,-37.751441,36-Bracken Ave/Miller St (Thornbury),144.991314,1,11
4164,-37.750312,37-Miller St/Gilbert Rd (Preston),144.988042,1,11
4165,-37.748083,38-Oakover Rd/Gilbert Rd (Preston),144.988375,1,11
4166,-37.745639,39-Latona Ave/Gilbert Rd (Preston),144.988804,1,11
4167,-37.744075,40-Bell St/Gilbert Rd (Preston),144.989028,1,11
4168,-37.741316,41-Bruce St/Gilbert Rd (Preston),144.9895,1,11
4169,-37.739096,42-Cramer St/Gilbert Rd (Preston),144.989832,1,11
4170,-37.736715,43-Murray Rd/Gilbert Rd (Preston),144.990214,1,11
4171,-37.73454,44-Cooper St/Gilbert Rd (Preston),144.990591,1,11
4172,-37.732994,45-Jacka St/Gilbert Rd (Preston),144.990848,1,11
4173,-37.730056,46-McNamara St/Gilbert Rd (Preston),144.991359,1,11
4471,-37.755121,33-Hutton St/St Georges Rd (Thornbury),144.994188,1,11
4472,-37.752268,34-Miller St/St Georges Rd (Preston),144.994924,1,11
4473,-37.751263,36-Devon St/Miller St (Preston),144.990944,1,11
4474,-37.751644,35-St Georges Rd/Miller St (Preston),144.994793,1,11
4475,-37.750602,37-Miller St/Gilbert Rd (Preston),144.988125,1,11
4476,-37.74823,38-Oakover Rd/Gilbert Rd (Preston),144.988541,1,11
4477,-37.745624,39-Latona Ave/Gilbert Rd (Preston),144.988963,1,11
4478,-37.743538,40-Bell St/Gilbert Rd (Preston),144.989247,1,11
4479,-37.74096,41-Bruce St/Gilbert Rd (Preston),144.989714,1,11
4480,-37.73891,42-Cramer St/Gilbert Rd (Preston),144.99003,1,11
4481,-37.736466,43-Murray Rd/Gilbert Rd (Preston),144.990414,1,11
4482,-37.734606,44-Cooper St/Gilbert Rd (Preston),144.990737,1,11
4483,-37.732764,45-Jacka St/Gilbert Rd (Preston),144.991059,1,11
4484,-37.729186,47-West Preston/Gilbert Rd (Preston),144.991587,1,11
22559,-37.783218,22-Scotchmer St/St Georges Rd (Fitzroy North),144.984027,1,11
4141,-37.805855,13-Gertrude St/Brunswick St (Fitzroy),144.977119,1,11
4142,-37.802835,14-Hanover St/Brunswick St (Fitzroy),144.977611,1,11
4143,-37.800445,15-Bell St/Brunswick St (Fitzroy),144.978039,1,11
4144,-37.798531,16-Johnston St/Brunswick St (Fitzroy),144.978364,1,11
